[4.936966966131498, 8.199602440340387];{'b2280': 0, 'b3733': 0}
[4.936966966131331, 25.814402899488037];{'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b3733': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b0655': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b3735': 0}
[4.936966966131331, 25.814402899488037];{'b0125': 0, 'b3736': 0, 'b0116': 0, 'b0067': 0, 'b2425': 0, 'b2280': 0, 'b0675': 0, 'b3733': 0, 'b0655': 0}
[4.89085082457933, 27.112743876153687];{'b0116': 0, 'b2280': 0, 'b4383': 0, 'b3733': 0}
[4.936966966131479, 8.199602440340408];{'b2280': 0, 'b2710': 0, 'b1686': 0, 'b3011': 0, 'b3733': 0, 'b2720': 0, 'b3616': 0, 'b3735': 0}
[4.936966966131479, 8.199602440340408];{'b0104': 0, 'b2280': 0, 'b1686': 0, 'b3011': 0, 'b3733': 0, 'b2720': 0, 'b3616': 0, 'b3735': 0}
[4.936966966131479, 8.199602440340408];{'b0104': 0, 'b2280': 0, 'b2710': 0, 'b3011': 0, 'b3733': 0, 'b2720': 0, 'b3616': 0, 'b3735': 0}
[4.936966966131479, 8.199602440340408];{'b0104': 0, 'b2280': 0, 'b2710': 0, 'b1686': 0, 'b3733': 0, 'b2720': 0, 'b3616': 0, 'b3735': 0}
[4.936966966131479, 8.199602440340408];{'b0104': 0, 'b2280': 0, 'b2710': 0, 'b1686': 0, 'b3011': 0, 'b2720': 0, 'b3616': 0, 'b3735': 0}
[4.936966966131479, 8.199602440340408];{'b0104': 0, 'b2280': 0, 'b2710': 0, 'b1686': 0, 'b3011': 0, 'b3733': 0, 'b3616': 0, 'b3735': 0}
