[4.936966966131182, 8.1996024403404];{'b3737': 0, 'b2284': 0}
[4.879776598583483, 8.209864278445215];{'b3737': 0, 'b2913': 0, 'b2284': 0}
[1.8466976262241341, 8.718442690767969];{'b3737': 0, 'b2415': 0, 'b2284': 0}
[1.8237768444913605, 8.72205251627242];{'b3737': 0, 'b2415': 0, 'b2913': 0, 'b2284': 0}
[4.936966966131048, 8.199602440340415];{'b3731': 0, 'b2284': 0}
[4.879776598583492, 8.209864278445218];{'b3737': 0, 'b3733': 0, 'b2913': 0, 'b2284': 0}
[4.879776598583492, 8.209864278445218];{'b3733': 0, 'b1301': 0, 'b2913': 0, 'b2284': 0}
[4.879776598583492, 8.209864278445218];{'b3737': 0, 'b1301': 0, 'b2913': 0, 'b2284': 0}
[1.8466976262241772, 8.718442690767981];{'b3733': 0, 'b2415': 0, 'b2284': 0}
[4.936966966131214, 8.199602440340408];{'b3733': 0, 'b2284': 0}
[4.879776598583499, 8.209864278445217];{'b2913': 0, 'b3731': 0, 'b2284': 0}
[4.93696696613149, 8.199602440340408];{'b4154': 0, 'b3737': 0}
